topic1;question;category;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica artritis infecciosa;16
trastornos cardiovasculares;cómo diagnostica taquicardia ventricular polimorfa entorchado torsades pointes;12;
geriatría;cómo afectado pandemia covid19 atención hogares ancianos especializada geriatría centro enfermería;4;
salud femenina;cómo sientan fibromas cervicales tratamientos existen ellas;10;
trastornos neurológicos;cómo diagnostica síndrome dolor regional complejo sdrc pronóstico;26;
salud femenina;causas sangrado vaginal;10;
trastornos del pulmón y las vías respiratorias;cómo causan neumonías contraídas comunidad;20;
trastornos neurológicos;cómo reconocen neuropatías sensitivas autonómicas;26;
salud femenina;cómo diagnostica trastorno dolor genitopélvico penetración salud femenina;10;
hematología y oncología;cómo trata trombocitopenia inmunitaria;6;
trastornos oftálmicos;cómo obtengo información retinopatía diabética;29;
trastornos psiquiátricos;cómo diagnostica trastorno límite personalidad;31;
cuidados críticos;puedes darme información reanimación cardiopulmonar rcp lactantes niños;0;
enfermedades cerebrales; medulares y nerviosas;cómo evaluar calambres musculares;1
trastornos nutricionales;cómo trata exceso cinc términos trastornos nutricionales;27;
trastornos neurológicos;cuáles conceptos clave ataque isquémico transitorio contexto trastornos neurológicos;26;
trastornos pulmonares;cómo trata bisinosis;32;
traumatismos y envenenamientos;dame informaciones lesiones hombro traumatismos envenenamientos;35;
trastornos de la piel;cómo trata liquen plano;13;
trastornos renales y del tracto urinario;cómo obtienen muestras tejido células realizar biopsia vejiga;33;
trastornos de los tejidos musculoesquelético y conectivo;cómo presenta introducción enfermedad kienböck tejidos musculoesqueléticos conectivos;17;
enfermedades cerebrales; medulares y nerviosas;dame información enfermedad huntington introducción;1
infecciones;cómo diagnostica ehrlichiosis anaplasmosis;7;
trastornos psiquiátricos;podrías darme informaciones generales uso sustancias contexto trastornos psiquiátricos;31;
trastornos de los tejidos musculoesquelético y conectivo;cómo realiza artrocentesis articulación metatarsofalángica pies qué contraindicaciones procedimiento;17;
trastornos dermatológicos;cómo presenta introducción pénfigo vulgar;21;
trastornos otorrinolaringológicos;cómo manejan trastornos otorrinolaringológicos hogar especialmente relación mareo vértigo;30;
cuidados críticos;cómo hacer canulación intraosa manualmente taladro eléctrico cuidados críticos;0;
trastornos hormonales y metabólicos;cómo diagnostica acidosis;24;
trastornos oftálmicos;cómo diagnostican tumores órbita adultos;29;
trastornos pulmonares;cómo realizan estudios imagen tórax resonancia magnética trastornos pulmonares;32;
trastornos del hígado y de la vesícula biliar;cómo diagnostica lesión hepática relacionada medicamentos;19;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica hipertensión arterial;18;
trastornos hormonales y metabólicos;cómo identifican síntomas acidosis;24;
traumatismos y envenenamientos;cómo trata lesión médula espinal niños debido traumas envenenamientos;35;
hematología y oncología;cómo presentan signos síntomas trombocitemia esencial;6;
trastornos nutricionales;cómo detecta deficiencia hierro nutricional;27;
trastornos neurológicos;cómo trata síndrome x frágil asociado temblor ataxia;26;
trastornos de la piel;cómo diagnositan lesiones uñas pies relacionadas actividad;13;
trastornos hormonales y metabólicos;cómo presentan síntomas feocromocitoma;24;
trastornos de los huesos; articulaciones y músculos;cómo detectan encondromas tumores óseos cancerosos;16
ginecología y obstetricia;cómo presentan trastornos semen ginecología obstetricia;5;
trastornos oftálmicos;cómo presentan síntomas signos celulitis preseptal orbitaria;29;
trastornos cardiovasculares;cómo diagnostica insuficiencia tricuspídea;12;
trastornos inmunológicos;cómo presentan reacciones anafilácticas cómo diagnositan;25;
trastornos del corazón y los vasos sanguíneos;dame información introducción medicamentos tratar ritmos cardíacos anormales;18;
trastornos de la salud mental;cómo introduce enfermedades mentales tipo apoyo social ofrece;14;
ginecología y obstetricia;cómo trata trabajo parto pretérmino ginecología obstetricia;5;
trastornos de la salud mental;cómo causan trastornos personalidad evitación;14;
cuidados críticos;cómo causa agitación confusión pacientes cuidados críticos cómo maneja bloqueo neuromuscular contexto;0;
trastornos pulmonares;cómo recomiendan sugieren recomendaciones realizar toracostomía aguja trastornos pulmonares;32;
trastornos del hígado y de la vesícula biliar;cómo detecta daño hepático causado medicamentos qué síntomas pueden indicar lesión hepática relacionada fármacos;19;
cuidados críticos;cómo administra ventilación presión positiva invasiva cuidados críticos;0;
ginecología y obstetricia;cómo presenta trastorno orgasmo femenino ginecología obstetricia;5;
trastornos renales y del tracto urinario;dame información trombosis vena renal;33;
fundamentos;cómo funciona terapia génica basada liposomas;2;
trastornos neurológicos;cómo presentan trastornos raíces nerviosas;26;
trastornos endocrinológicos y metabólicos;cómo diagnostica hipotiroidismo primario;22;
cuidados críticos;cómo realiza examen fast cuidados críticos equipo necesita;0;
trastornos otorrinolaringológicos;cómo trata epistaxis anterior cauterización cuidados posteriores;30;
trastornos del corazón y los vasos sanguíneos;causas regurgitación válvula aórtica;18;
trastornos del corazón y los vasos sanguíneos;cómo presenta introducción sistema linfático relación trastornos corazón vasos sanguíneos;18;
trastornos de los huesos; articulaciones y músculos;cómo identifican síntomas granulomatosis eosinófila poliangitis;16
trastornos neurológicos;cómo evaluar segundo nervio craneal detectar trastornos neurológicos;26;
trastornos otorrinolaringológicos;cómo maneja pérdida audición audífonos prótesis auditivas contexto trastornos otorrinolaringológicos;30;
trastornos neurológicos;qué entiende meningitis cómo trata;26;
trastornos nutricionales;cómo diagnostica deficiencia vitamina b6 nutricional;27;
hematología y oncología;cómo trata síndrome antifosfolípidos;6;
trastornos oftálmicos;cómo presentan trastornos oftálmicos neuropatías ópticas nutricionales tóxicas síntomas acompañan;29;
trastornos oftálmicos;cómo presenta introducción queratopatía ampollar oftalmológica;29;
trastornos hepáticos y biliares;cómo presenta introducción colecistitis aguda trastornos hepáticos biliares;23;
trastornos pulmonares;cómo diagnostica neumonía intersticial aguda;32;
traumatismos y envenenamientos;cómo toman precauciones seguridad bucear prevenir lesiones;35;
trastornos del corazón y los vasos sanguíneos;cómo presenta introducción bloqueo cardíaco problemas cardíacos vasculares componen corazón;18;
traumatismos y envenenamientos;cómo diagnostica esguince tobillo superior inferior;35;
geriatría;cómo puede prevenir problemas psicosociales edad adulta;4;
traumatismos y envenenamientos;cómo diagnostica ahogamiento consecuencias falta oxígeno;35;
trastornos renales y del tracto urinario;cómo causan uretritis;33;
trastornos urogenitales;cómo identifican factores riesgo nefropatía contraste;34;
traumatismos y envenenamientos;dame información ahogamiento;35;
trastornos hepáticos y biliares;cómo entienden conceptos clave trombosis vena porta trastornos hepáticos biliares;23;
trastornos cardiovasculares;cómo realiza diagnóstico trastornos cardiovasculares mediante estudios imagen cardíacos rm;12;
ginecología y obstetricia;cómo diagnostica enfermedad hemolítica feto recién nacido;5;
hematología y oncología;cómo produce leucemia linfocítica crónica llc fisiopatología;6;
fármacos o sustancias;cómo actúan medicamentos sustancias cuestión;3;
trastornos cardiovasculares;cómo diagnostica disección aórtica;12;
trastornos neurológicos;qué conceptos clave enfermedad huntington;26;
trastornos de los huesos; articulaciones y músculos;cómo sientan síntomas bursitis;16
trastornos inmunológicos;cómo diagnostica carencia selectiva anticuerpos inmunoglobulinas normales trastornos inmunológicos;25;
trastornos nutricionales;cómo trata deficiencia dependencia vitamina;27;
trastornos neurológicos;cómo refieren generales gliomas contexto trastornos neurológicos;26;
trastornos de la piel;cómo introduce dermatitis cómo trata dermatitis;13;
trastornos nutricionales;cómo reconocen síntomas deficiencia vitamina e;27;
trastornos dermatológicos;cómo produce dermatosis neutrofílica febril aguda;21;
ginecología y obstetricia;cómo funciona método anticoncepción basado conocimiento fertilidad método amenorrea lactancia ginecología obstetricia;5;
trastornos de la piel;cómo presenta introducción carcinoma espinocelular piel;13;
trastornos pulmonares;cómo trata fibroelastosis pleuroparenquimatosa idiopática;32;
ginecología y obstetricia;cómo diagnostica anemia embarazo deficiencia hierro;5;
trastornos de la salud mental;cómo diagnostica trastorno personalidad narcisista;14;
trastornos urogenitales;qué entiende síndrome nefrítico cómo diagnostica glomerulonefritis crónica;34;
trastornos bucales y dentales;cómo introduce prótesis dental;11;
traumatismos y envenenamientos;cómo diagnostican parálisis causadas picaduras garrapatas;35;
trastornos pulmonares;cómo refiere literatura desfunciones cuerdas vocales contexto trastornos pulmonares;32;
fundamentos;cómo elegir ejercicio físico correcto según fundamentos uso pilates;2;
trastornos de la salud mental;cómo trata trastorno bipolar;14;
infecciones;cómo administra vacuna gripe;7;
inmunología y trastornos alérgicos;cómo realiza trasplante pulmón corazón pulmón campo inmunología trastornos alérgicos;8;
trastornos de la piel;cómo presenta dermatitis manos pies;13;
trastornos neurológicos;podrías darme informaciones generales trastornos medulares;26;
trastornos de la salud mental;cómo trata trastorno esquizotípico personalidad;14;
trastornos endocrinológicos y metabólicos;cómo presenta introducción hipocalcemia;22;
trastornos dermatológicos;dame información introducción trastornos dermatológicos relacionados carcinoma células merkel;21;
salud femenina;qué causas dolor pélvico mujeres;10;
ginecología y obstetricia;cómo produce embolia líquido amniótico ginecología obstetricia fisiopatología;5;
trastornos cardiovasculares;cómo trata aneurisma aorta torácica;12;
trastornos del hígado y de la vesícula biliar;cómo trata colangiopatía isquémica;19;
trastornos dermatológicos;cómo trata efectos crónicos luz solar trastornos dermatológicos;21;
trastornos urogenitales;cómo diagnostica acidosis tubular renal generalizada relación trastornos urogenitales;34;
